state,date_released,date_added,age,percent_of_vac,percent_coverage,dose,population,
New Jersey,,3/26/2021,80_100,10.00%,,,,
New Mexico,3/25/2021,3/26/2021,16_59,,26.20%,,,
New Mexico,3/25/2021,3/26/2021,60_74,,50.10%,,,
New Mexico,3/25/2021,3/26/2021,75_100,,69.00%,,,
New York,,,,,,,,
North Carolina,3/24/2021,3/26/2021,0_17,0.30%,,,,
North Carolina,3/24/2021,3/26/2021,18_24,3.50%,,,,
North Carolina,3/24/2021,3/26/2021,25_49,24.70%,,,,
North Carolina,3/24/2021,3/26/2021,50_64,22.50%,,,,
North Carolina,3/24/2021,3/26/2021,65_74,28.90%,,,,
North Carolina,3/24/2021,3/26/2021,75_100,20.00%,,,,
North Dakota,3/25/2021,3/26/2021,18_29,,16.00%,,,
North Dakota,3/25/2021,3/26/2021,30_39,,24.30%,,,
North Dakota,3/25/2021,3/26/2021,40_49,,33.10%,,,
North Dakota,3/25/2021,3/26/2021,50_59,,41.30%,,,
North Dakota,3/25/2021,3/26/2021,60_69,,56.40%,,,
North Dakota,3/25/2021,3/26/2021,70_79,,66.00%,,,
North Dakota,3/25/2021,3/26/2021,80_100,,71.30%,,,
Ohio,3/25/2021,3/26/2021,0_19,,0.55%,15879,,
Ohio,3/25/2021,3/26/2021,20_29,,10.09%,156724,,
Ohio,3/25/2021,3/26/2021,30_39,,15.56%,229896,,
Ohio,3/25/2021,3/26/2021,40_49,,22.60%,313504,,
Ohio,3/25/2021,3/26/2021,50_59,,34.52%,532379,,
Ohio,3/25/2021,3/26/2021,60_64,,48.86%,389142,,
Ohio,3/25/2021,3/26/2021,65_69,,63.15%,421146,,
Ohio,3/25/2021,3/26/2021,70_74,,70.77%,369667,,
Ohio,3/25/2021,3/26/2021,75_79,,69.80%,249595,,
Ohio,3/25/2021,3/26/2021,80_100,,70.19%,350595,,
Oklahoma,,,,,,,,
Oregon,3/24/2021,3/26/2021,0_19,1.00%,,10203,,
Oregon,3/24/2021,3/26/2021,20_29,8.00%,,83500,,
Oregon,3/24/2021,3/26/2021,30_39,12.00%,,121473,,
Oregon,3/24/2021,3/26/2021,40_49,12.00%,,125174,,
Oregon,3/24/2021,3/26/2021,50_59,12.00%,,128551,,
Oregon,3/24/2021,3/26/2021,60_64,7.00%,,75865,,
Oregon,3/24/2021,3/26/2021,65_69,14.00%,,150943,,
Oregon,3/24/2021,3/26/2021,70_74,13.00%,,140094,,
Oregon,3/24/2021,3/26/2021,75_79,9.00%,,93776,,
Oregon,3/24/2021,3/26/2021,80_100,11.00%,,116688,,
Pennsylvania,,3/26/2021,15_19,,,23502,,
Pennsylvania,,3/26/2021,20_24,,,86517,,
Pennsylvania,,3/26/2021,25_29,,,116036,,
Pennsylvania,,3/26/2021,30_34,,,144698,,
Pennsylvania,,3/26/2021,35_39,,,165495,,
Pennsylvania,,3/26/2021,40_44,,,169057,,
Pennsylvania,,3/26/2021,45_49,,,175383,,
Pennsylvania,,3/26/2021,50_54,,,212808,,
Pennsylvania,,3/26/2021,55_59,,,261548,,
Pennsylvania,,3/26/2021,60_64,,,330378,,
Pennsylvania,,3/26/2021,65_69,,,448500,,
Pennsylvania,,3/26/2021,70_74,,,387499,,
Pennsylvania,,3/26/2021,75_79,,,267067,,
Pennsylvania,,3/26/2021,80_84,,,185060,,
Pennsylvania,,3/26/2021,85_89,,,118869,,
Pennsylvania,,3/26/2021,90_94,,,64934,,
Pennsylvania,,3/26/2021,95_99,,,18918,,
Pennsylvania,,3/26/2021,100_104,,,2491,,
Pennsylvania,,3/26/2021,105_105,,,595,,
Rhode Island,3/20/2021,3/26/2021,0_19,0.68%,,2050,,
Rhode Island,3/20/2021,3/26/2021,20_34,11.66%,,35021,,
Rhode Island,3/20/2021,3/26/2021,35_44,9.53%,,28625,,
Rhode Island,3/20/2021,3/26/2021,45_54,11.77%,,35342,,
Rhode Island,3/20/2021,3/26/2021,55_64,17.80%,,53453,,
Rhode Island,3/20/2021,3/26/2021,65_74,27.89%,,83765,,
Rhode Island,3/20/2021,3/26/2021,75_100,20.67%,,62064,,
South Carolina,3/25/2021,3/27/2021,16_24,,,29649,,
South Carolina,3/25/2021,3/27/2021,25_34,,,77066,,
South Carolina,3/25/2021,3/27/2021,35_44,,,102263,,
South Carolina,3/25/2021,3/27/2021,45_54,,,124478,,
South Carolina,3/25/2021,3/27/2021,55_64,,,225952,,
South Carolina,3/25/2021,3/27/2021,65_100,,,608518,,
South Dakota,,3/27/2021,0_9,,,0,,
South Dakota,,3/27/2021,10_19,,,2913,,
South Dakota,,3/27/2021,20_29,,,18363,,
South Dakota,,3/27/2021,30_39,,,25452,,
South Dakota,,3/27/2021,40_49,,,27504,,
South Dakota,,3/27/2021,50_59,,,36363,,
South Dakota,,3/27/2021,60_69,,,59845,,
South Dakota,,3/27/2021,70_79,,,44590,,
South Dakota,,3/27/2021,80_100,,,28164,,
Tennessee,3/26/2021,3/27/2021,16_20,1.18%,,19077,,
Tennessee,3/26/2021,3/27/2021,21_30,7.40%,,119274,,
Tennessee,3/26/2021,3/27/2021,31_40,10.22%,,164719,,
Tennessee,3/26/2021,3/27/2021,41_50,11.75%,,189388,,
Tennessee,3/26/2021,3/27/2021,51_60,15.85%,,255514,,
Tennessee,3/26/2021,3/27/2021,61_70,23.52%,,379256,,
Tennessee,3/26/2021,3/27/2021,71_80,20.75%,,334510,,
Tennessee,3/26/2021,3/27/2021,81_100,9.33%,,150356,,
Texas,,3/27/2021,16_49,,,1097744,,
Texas,,3/27/2021,50_64,,,881180,,
Texas,,3/27/2021,65_79,,,1176746,,
Texas,,3/27/2021,80_100,,,326108,,
Utah,,,,,,,,
Vermont,,3/27/2021,16_29,,11.80%,,,
Vermont,,3/27/2021,30_39,,21.80%,,,
Vermont,,3/27/2021,40_49,,22.80%,,,
Vermont,,3/27/2021,50_59,,24.70%,,,
Vermont,,3/27/2021,60_64,,29.40%,,,
Vermont,,3/27/2021,65_69,,72.30%,,,
Vermont,,3/27/2021,70_74,,87.80%,,,
Vermont,,3/27/2021,75_100,,86.40%,,,
Virginia,,3/27/2021,0_9,0.00%,,0,,
Virginia,,3/27/2021,10_19,1.00%,,21702,,
Virginia,,3/27/2021,20_29,7.50%,,155587,,
Virginia,,3/27/2021,30_39,10.60%,,220900,,
Virginia,,3/27/2021,40_49,12.30%,,255820,,
Virginia,,3/27/2021,50_59,15.90%,,331049,,
Virginia,,3/27/2021,60_69,23.00%,,476406,,
Virginia,,3/27/2021,70_79,19.70%,,408484,,
Virginia,,3/27/2021,80_100,9.90%,,205595,,
Washington,3/24/2021,3/27/2021,0_19,,1.00%,,,
Washington,3/24/2021,3/27/2021,20_34,,15.60%,,,
Washington,3/24/2021,3/27/2021,35_49,,22.80%,,,
Washington,3/24/2021,3/27/2021,50_64,,33.10%,,,
Washington,3/24/2021,3/27/2021,65_100,,71.40%,,,
West Virginia,,3/27/2021,0_24,,,16754,,
West Virginia,,3/27/2021,25_34,,,34997,,
West Virginia,,3/27/2021,35_44,,,46227,,
West Virginia,,3/27/2021,45_54,,,59608,,
West Virginia,,3/27/2021,55_64,,,88875,,
West Virginia,,3/27/2021,65_74,,,127789,,
West Virginia,,3/27/2021,75_84,,,75352,,
West Virginia,,3/27/2021,85_100,,,30507,,
Wisconsin,,3/27/2021,16_17,,3.80%,,,
Wisconsin,,3/27/2021,18_24,,14.40%,,,
Wisconsin,,3/27/2021,25_34,,21.50%,,,
Wisconsin,,3/27/2021,35_44,,27.00%,,,
Wisconsin,,3/27/2021,45_54,,27.70%,,,
Wisconsin,,3/27/2021,55_64,,34.30%,,,
Wisconsin,,3/27/2021,65_100,,74.50%,,,
